Category,Name,Price_PLN,Performance_Score,Socket,RAM_Type,TDP_W,Power_W,Form_Factor,Length_mm,Height_mm
CPU,AMD Ryzen Gen-9 Model-42,3208,3780,AM4,,202,,,,
CPU,AMD Ryzen Gen-10 Model-43,800,660,AM4,,244,,,,
CPU,AMD Ryzen Gen-14 Model-44,1945,1703,LGA1851,,124,,,,
CPU,AMD Ryzen Gen-11 Model-45,1868,1883,LGA1200,,48,,,,
CPU,Intel Core Gen-13 Model-46,1644,1800,LGA1200,,214,,,,
CPU,AMD Ryzen Gen-10 Model-47,2625,2823,AM5,,75,,,,
CPU,AMD Ryzen Gen-11 Model-48,553,471,LGA1851,,116,,,,
CPU,AMD Ryzen Gen-12 Model-49,3208,3268,LGA1851,,208,,,,
CPU,Intel Core Gen-10 Model-50,1610,1364,AM4,,248,,,,
CPU,Intel Core Gen-14 Model-51,2482,2108,AM5,,139,,,,
CPU,Intel Core Gen-14 Model-52,1060,1082,LGA1200,,156,,,,
CPU,Intel Core Gen-11 Model-53,3067,2968,LGA1200,,123,,,,
CPU,Intel Core Gen-11 Model-54,496,588,LGA1851,,144,,,,
CPU,AMD Ryzen Gen-12 Model-55,3043,2923,LGA1851,,129,,,,
CPU,AMD Ryzen Gen-10 Model-56,440,384,LGA1851,,58,,,,
CPU,AMD Ryzen Gen-13 Model-57,1240,1291,LGA1851,,172,,,,
CPU,AMD Ryzen Gen-11 Model-58,3347,3274,LGA1851,,145,,,,
CPU,AMD Ryzen Gen-13 Model-59,3412,3349,AM5,,237,,,,
CPU,Intel Core Gen-13 Model-60,1707,1374,AM4,,127,,,,
CPU,Intel Core Gen-12 Model-61,2762,2608,AM4,,219,,,,
CPU,AMD Ryzen Gen-11 Model-62,2258,1994,LGA1851,,166,,,,
CPU,AMD Ryzen Gen-10 Model-63,2183,2508,LGA1851,,155,,,,
CPU,AMD Ryzen Gen-14 Model-64,3165,3150,LGA1851,,88,,,,
CPU,Intel Core Gen-13 Model-65,2120,1974,LGA1700,,103,,,,
CPU,AMD Ryzen Gen-10 Model-66,618,736,LGA1200,,159,,,,
CPU,Intel Core Gen-10 Model-67,2560,2723,LGA1200,,66,,,,
CPU,Intel Core Gen-14 Model-68,3321,3646,AM5,,153,,,,
CPU,AMD Ryzen Gen-9 Model-69,3230,3325,AM5,,187,,,,
CPU,AMD Ryzen Gen-11 Model-70,1989,2198,LGA1200,,110,,,,
CPU,AMD Ryzen Gen-12 Model-71,369,383,AM5,,176,,,,
CPU,Intel Core Gen-12 Model-72,1307,1466,AM4,,95,,,,
CPU,AMD Ryzen Gen-10 Model-73,1007,1178,LGA1851,,231,,,,
CPU,AMD Ryzen Gen-11 Model-74,2151,2133,AM4,,179,,,,
CPU,AMD Ryzen Gen-9 Model-75,891,1037,LGA1700,,238,,,,
CPU,Intel Core Gen-13 Model-76,3254,2732,LGA1700,,246,,,,
CPU,Intel Core Gen-10 Model-77,1947,2139,LGA1851,,222,,,,
CPU,AMD Ryzen Gen-13 Model-78,1122,1058,LGA1200,,66,,,,
CPU,Intel Core Gen-11 Model-79,1382,1643,LGA1700,,211,,,,
CPU,Intel Core Gen-14 Model-80,2503,2686,LGA1700,,137,,,,
CPU,Intel Core Gen-10 Model-81,3136,2854,LGA1200,,71,,,,
CPU,Intel Core Gen-11 Model-82,827,870,LGA1200,,65,,,,
CPU,AMD Ryzen Gen-10 Model-83,2606,2902,AM5,,242,,,,
CPU,AMD Ryzen Gen-9 Model-84,1802,1713,LGA1700,,217,,,,
CPU,AMD Ryzen Gen-13 Model-85,920,1087,LGA1851,,55,,,,
CPU,AMD Ryzen Gen-11 Model-86,526,539,LGA1851,,52,,,,
CPU,AMD Ryzen Gen-12 Model-87,3113,3026,AM5,,247,,,,
CPU,Intel Core Gen-10 Model-88,3311,3718,AM5,,88,,,,
CPU,Intel Core Gen-13 Model-89,1476,1440,LGA1851,,117,,,,
CPU,Intel Core Gen-10 Model-90,2316,2305,AM4,,190,,,,
CPU,AMD Ryzen Gen-10 Model-91,533,585,LGA1200,,192,,,,
CPU,AMD Ryzen Gen-9 Model-92,3440,3401,AM4,,116,,,,
CPU,Intel Core Gen-11 Model-93,2040,2141,AM4,,101,,,,
CPU,AMD Ryzen Gen-12 Model-94,1114,982,AM4,,144,,,,
CPU,AMD Ryzen Gen-13 Model-95,2780,3304,LGA1851,,204,,,,
CPU,Intel Core Gen-12 Model-96,3140,2879,LGA1200,,205,,,,
CPU,AMD Ryzen Gen-10 Model-97,608,513,AM4,,151,,,,
CPU,Intel Core Gen-14 Model-98,335,374,AM4,,141,,,,
CPU,AMD Ryzen Gen-11 Model-99,2280,1963,AM4,,235,,,,
CPU,AMD Ryzen Gen-14 Model-100,809,696,LGA1700,,153,,,,
CPU,Intel Core Gen-10 Model-101,1606,1677,LGA1700,,218,,,,
CPU,Intel Core Gen-14 Model-102,3433,3483,AM5,,87,,,,
CPU,AMD Ryzen Gen-11 Model-103,1223,1161,AM5,,193,,,,
CPU,Intel Core Gen-14 Model-104,2526,2617,LGA1851,,241,,,,
CPU,AMD Ryzen Gen-13 Model-105,859,985,LGA1700,,218,,,,
CPU,Intel Core Gen-12 Model-106,3039,3156,AM5,,82,,,,
CPU,Intel Core Gen-12 Model-107,2167,2212,AM5,,198,,,,
CPU,Intel Core Gen-14 Model-108,2096,1718,LGA1851,,165,,,,
CPU,AMD Ryzen Gen-11 Model-109,3159,3724,LGA1200,,168,,,,
CPU,Intel Core Gen-9 Model-110,1532,1225,AM4,,150,,,,
CPU,AMD Ryzen Gen-10 Model-111,1879,1850,LGA1851,,198,,,,
CPU,Intel Core Gen-10 Model-112,3045,2692,AM4,,185,,,,
CPU,Intel Core Gen-12 Model-113,1791,1833,LGA1851,,123,,,,
CPU,Intel Core Gen-12 Model-114,2639,3143,LGA1851,,230,,,,
CPU,Intel Core Gen-11 Model-115,2012,2117,AM5,,60,,,,
CPU,AMD Ryzen Gen-9 Model-116,2321,2413,AM4,,233,,,,
CPU,AMD Ryzen Gen-11 Model-117,2160,2488,AM4,,168,,,,
CPU,Intel Core Gen-10 Model-118,942,899,AM5,,242,,,,
CPU,AMD Ryzen Gen-14 Model-119,2425,2829,AM5,,150,,,,
CPU,AMD Ryzen Gen-12 Model-120,1240,1063,AM4,,112,,,,
CPU,Intel Core Gen-11 Model-121,1892,2036,AM5,,156,,,,
CPU,AMD Ryzen Gen-11 Model-122,2966,2565,LGA1700,,100,,,,
CPU,AMD Ryzen Gen-9 Model-123,3162,2960,LGA1700,,121,,,,
CPU,AMD Ryzen Gen-12 Model-124,895,941,AM5,,118,,,,
CPU,Intel Core Gen-10 Model-125,3382,2842,LGA1851,,125,,,,
CPU,AMD Ryzen Gen-10 Model-126,495,576,AM5,,108,,,,
CPU,AMD Ryzen Gen-13 Model-127,1257,1385,LGA1200,,71,,,,
CPU,AMD Ryzen Gen-12 Model-128,3496,4017,LGA1700,,125,,,,
CPU,Intel Core Gen-12 Model-129,3433,3671,LGA1700,,135,,,,
CPU,AMD Ryzen Gen-14 Model-130,2630,2787,LGA1700,,182,,,,
CPU,Intel Core Gen-14 Model-131,3072,3256,LGA1851,,142,,,,
CPU,Intel Core Gen-12 Model-132,1564,1769,AM4,,227,,,,
CPU,AMD Ryzen Gen-10 Model-133,907,889,LGA1700,,86,,,,
CPU,Intel Core Gen-9 Model-134,609,618,LGA1200,,111,,,,
CPU,AMD Ryzen Gen-14 Model-135,2567,2753,LGA1700,,169,,,,
CPU,AMD Ryzen Gen-14 Model-136,634,749,LGA1700,,203,,,,
CPU,Intel Core Gen-13 Model-137,1483,1445,LGA1700,,126,,,,
CPU,AMD Ryzen Gen-14 Model-138,3106,2962,LGA1700,,105,,,,
CPU,AMD Ryzen Gen-13 Model-139,1584,1416,AM4,,143,,,,
CPU,Intel Core Gen-14 Model-140,2658,2964,LGA1200,,201,,,,
CPU,Intel Core Gen-13 Model-141,1856,1601,LGA1700,,204,,,,
CPU,Intel Core Gen-10 Model-142,437,466,AM4,,186,,,,
CPU,Intel Core Gen-14 Model-143,300,263,LGA1851,,79,,,,
CPU,AMD Ryzen Gen-14 Model-144,3085,2553,AM4,,128,,,,
CPU,AMD Ryzen Gen-11 Model-145,1554,1263,LGA1851,,201,,,,
CPU,Intel Core Gen-12 Model-146,1175,1225,LGA1700,,95,,,,
CPU,AMD Ryzen Gen-12 Model-147,2267,2454,AM5,,72,,,,
CPU,Intel Core Gen-11 Model-148,3013,3353,LGA1200,,250,,,,
CPU,Intel Core Gen-14 Model-149,3223,2643,AM4,,187,,,,
CPU,Intel Core Gen-12 Model-150,1131,1071,LGA1851,,86,,,,
CPU,AMD Ryzen Gen-11 Model-151,775,688,AM5,,219,,,,
CPU,Intel Core Gen-9 Model-152,2894,2787,AM5,,136,,,,
CPU,Intel Core Gen-12 Model-153,546,626,LGA1200,,186,,,,
CPU,Intel Core Gen-14 Model-154,1223,1109,LGA1200,,158,,,,
CPU,Intel Core Gen-9 Model-155,3469,3627,LGA1700,,82,,,,
CPU,AMD Ryzen Gen-11 Model-156,1715,1618,LGA1851,,218,,,,
CPU,Intel Core Gen-13 Model-157,988,822,AM4,,212,,,,
CPU,Intel Core Gen-10 Model-158,2225,2521,LGA1200,,94,,,,
CPU,AMD Ryzen Gen-14 Model-159,1767,1799,LGA1700,,65,,,,
CPU,AMD Ryzen Gen-9 Model-160,822,686,LGA1200,,228,,,,
CPU,AMD Ryzen Gen-12 Model-161,1760,1651,LGA1700,,59,,,,
CPU,Intel Core Gen-13 Model-162,2962,2676,AM5,,165,,,,
CPU,Intel Core Gen-11 Model-163,2147,1806,LGA1851,,222,,,,
CPU,Intel Core Gen-9 Model-164,3357,3709,LGA1200,,236,,,,
CPU,Intel Core Gen-9 Model-165,1039,1231,LGA1851,,57,,,,
CPU,Intel Core Gen-13 Model-166,2333,2738,AM5,,160,,,,
CPU,AMD Ryzen Gen-10 Model-167,303,278,LGA1700,,236,,,,
CPU,AMD Ryzen Gen-12 Model-168,2882,2754,LGA1851,,247,,,,
CPU,AMD Ryzen Gen-11 Model-169,3254,3867,AM5,,234,,,,
CPU,AMD Ryzen Gen-12 Model-170,1820,2065,AM4,,98,,,,
CPU,AMD Ryzen Gen-14 Model-171,591,654,LGA1200,,204,,,,
CPU,AMD Ryzen Gen-12 Model-172,2580,3001,LGA1700,,165,,,,
CPU,Intel Core Gen-11 Model-173,1407,1615,LGA1200,,123,,,,
CPU,AMD Ryzen Gen-14 Model-174,3295,2894,AM4,,203,,,,
CPU,AMD Ryzen Gen-13 Model-175,1225,1159,LGA1700,,101,,,,
CPU,Intel Core Gen-10 Model-176,1812,1707,AM5,,178,,,,
CPU,Intel Core Gen-12 Model-177,528,630,LGA1200,,111,,,,
CPU,Intel Core Gen-13 Model-178,1013,1085,AM4,,77,,,,
CPU,Intel Core Gen-14 Model-179,661,749,LGA1700,,234,,,,
CPU,AMD Ryzen Gen-14 Model-180,469,398,AM4,,163,,,,
CPU,Intel Core Gen-9 Model-181,2788,2884,LGA1851,,196,,,,
CPU,AMD Ryzen Gen-13 Model-182,1385,1517,AM5,,80,,,,
CPU,Intel Core Gen-9 Model-183,2444,2630,LGA1700,,136,,,,
CPU,Intel Core Gen-14 Model-184,2132,2276,LGA1700,,68,,,,
CPU,Intel Core Gen-11 Model-185,427,452,AM5,,108,,,,
CPU,AMD Ryzen Gen-10 Model-186,3344,3426,AM5,,234,,,,
CPU,AMD Ryzen Gen-11 Model-187,376,403,LGA1851,,232,,,,
CPU,AMD Ryzen Gen-14 Model-188,789,703,AM4,,148,,,,
CPU,Intel Core Gen-11 Model-189,622,624,AM5,,74,,,,
CPU,Intel Core Gen-11 Model-190,749,718,LGA1700,,122,,,,
CPU,Intel Core Gen-10 Model-191,1363,1567,LGA1200,,219,,,,
CPU,Intel Core Gen-11 Model-192,1398,1642,LGA1700,,186,,,,
CPU,Intel Core Gen-12 Model-193,1829,1745,AM5,,53,,,,
CPU,AMD Ryzen Gen-10 Model-194,1569,1260,LGA1851,,148,,,,
CPU,AMD Ryzen Gen-11 Model-195,1853,2073,LGA1851,,223,,,,
CPU,AMD Ryzen Gen-9 Model-196,3168,3494,AM5,,204,,,,
CPU,AMD Ryzen Gen-10 Model-197,1571,1499,AM4,,191,,,,
CPU,Intel Core Gen-9 Model-198,3085,3008,AM4,,193,,,,
CPU,Intel Core Gen-14 Model-199,2404,2401,AM4,,180,,,,
CPU,AMD Ryzen Gen-11 Model-200,2336,2558,AM5,,243,,,,
CPU,AMD Ryzen Gen-14 Model-201,1017,998,LGA1851,,80,,,,
CPU,Intel Core Gen-14 Model-202,1549,1406,LGA1700,,128,,,,
CPU,Intel Core Gen-9 Model-203,1098,992,AM5,,239,,,,
CPU,Intel Core Gen-13 Model-204,3265,3150,AM4,,76,,,,
CPU,Intel Core Gen-10 Model-205,2812,2444,LGA1200,,234,,,,
CPU,Intel Core Gen-13 Model-206,1606,1518,AM4,,161,,,,
CPU,Intel Core Gen-14 Model-207,900,895,LGA1851,,88,,,,
CPU,AMD Ryzen Gen-10 Model-208,1429,1278,LGA1851,,146,,,,
CPU,Intel Core Gen-14 Model-209,1734,1749,AM4,,213,,,,
CPU,AMD Ryzen Gen-13 Model-210,3490,2822,LGA1700,,92,,,,
CPU,Intel Core Gen-10 Model-211,892,798,LGA1700,,234,,,,
CPU,Intel Core Gen-14 Model-212,2314,2337,AM5,,56,,,,
CPU,Intel Core Gen-9 Model-213,1028,1012,LGA1700,,66,,,,
CPU,Intel Core Gen-12 Model-214,1316,1327,LGA1700,,127,,,,
CPU,Intel Core Gen-13 Model-215,2214,2187,LGA1700,,203,,,,
CPU,AMD Ryzen Gen-12 Model-216,2981,3205,AM5,,208,,,,
CPU,Intel Core Gen-14 Model-217,2890,3202,AM5,,216,,,,
CPU,Intel Core Gen-11 Model-218,1903,1870,AM5,,209,,,,
CPU,AMD Ryzen Gen-13 Model-219,3080,2605,LGA1200,,204,,,,
CPU,Intel Core Gen-12 Model-220,3359,2807,AM4,,100,,,,
CPU,AMD Ryzen Gen-9 Model-221,3192,3220,AM4,,105,,,,
CPU,Intel Core Gen-12 Model-222,3158,3208,LGA1700,,71,,,,
CPU,AMD Ryzen Gen-10 Model-223,1419,1670,LGA1851,,176,,,,
CPU,Intel Core Gen-10 Model-224,350,410,LGA1700,,53,,,,
CPU,AMD Ryzen Gen-10 Model-225,2827,3293,AM4,,133,,,,
CPU,Intel Core Gen-10 Model-226,1312,1456,AM4,,220,,,,
CPU,AMD Ryzen Gen-11 Model-227,3217,3593,AM4,,180,,,,
CPU,Intel Core Gen-9 Model-228,1068,998,AM4,,105,,,,
CPU,Intel Core Gen-10 Model-229,1771,1930,AM5,,57,,,,
CPU,AMD Ryzen Gen-14 Model-230,2598,2595,LGA1200,,69,,,,
CPU,AMD Ryzen Gen-10 Model-231,1690,1498,AM5,,197,,,,
CPU,Intel Core Gen-9 Model-232,723,732,LGA1200,,146,,,,
CPU,Intel Core Gen-12 Model-233,2847,2818,AM5,,102,,,,
CPU,Intel Core Gen-12 Model-234,1253,1473,LGA1700,,185,,,,
CPU,AMD Ryzen Gen-9 Model-235,3007,2649,AM4,,165,,,,
CPU,AMD Ryzen Gen-10 Model-236,2294,1950,AM5,,168,,,,
CPU,Intel Core Gen-9 Model-237,2992,2814,LGA1200,,102,,,,
CPU,AMD Ryzen Gen-11 Model-238,2879,2757,LGA1700,,103,,,,
CPU,Intel Core Gen-12 Model-239,958,784,LGA1700,,145,,,,
CPU,Intel Core Gen-13 Model-240,2999,3222,LGA1851,,63,,,,
CPU,Intel Core Gen-13 Model-241,772,750,LGA1200,,129,,,,
CPU,AMD Ryzen Gen-14 Model-242,2654,2740,AM4,,226,,,,
CPU,AMD Ryzen Gen-11 Model-243,3178,2556,LGA1700,,158,,,,
CPU,Intel Core Gen-12 Model-244,2183,2261,AM5,,124,,,,
CPU,AMD Ryzen Gen-11 Model-245,3436,3891,LGA1700,,117,,,,
CPU,AMD Ryzen Gen-13 Model-246,461,534,LGA1851,,119,,,,
CPU,Intel Core Gen-10 Model-247,1982,2336,AM5,,215,,,,
CPU,AMD Ryzen Gen-11 Model-248,947,1089,AM4,,100,,,,
CPU,AMD Ryzen Gen-10 Model-249,3374,4043,LGA1851,,240,,,,
CPU,Intel Core Gen-13 Model-250,756,708,LGA1851,,110,,,,
CPU,Intel Core Gen-12 Model-251,2640,2600,LGA1700,,237,,,,
CPU,Intel Core Gen-14 Model-252,1911,1845,LGA1700,,216,,,,
CPU,AMD Ryzen Gen-9 Model-253,1482,1583,AM4,,194,,,,
CPU,Intel Core Gen-9 Model-254,1296,1524,AM5,,122,,,,
CPU,Intel Core Gen-14 Model-255,2451,2492,AM5,,240,,,,
CPU,Intel Core Gen-9 Model-256,2225,2619,AM4,,95,,,,
CPU,Intel Core Gen-11 Model-257,2041,1636,AM4,,179,,,,
CPU,Intel Core Gen-9 Model-258,598,702,AM4,,109,,,,
CPU,Intel Core Gen-13 Model-259,322,260,AM4,,203,,,,
CPU,AMD Ryzen Gen-14 Model-260,624,573,LGA1200,,50,,,,
CPU,Intel Core Gen-10 Model-261,517,444,LGA1700,,151,,,,
CPU,Intel Core Gen-14 Model-262,2194,2418,LGA1851,,244,,,,
CPU,Intel Core Gen-9 Model-263,1060,1214,AM4,,208,,,,
CPU,AMD Ryzen Gen-10 Model-264,673,580,AM4,,90,,,,
CPU,AMD Ryzen Gen-14 Model-265,3225,2955,LGA1200,,90,,,,
CPU,Intel Core Gen-9 Model-266,2029,2082,LGA1700,,214,,,,
CPU,Intel Core Gen-14 Model-267,2801,3010,AM4,,188,,,,
CPU,Intel Core Gen-13 Model-268,366,310,AM4,,123,,,,
CPU,AMD Ryzen Gen-12 Model-269,1584,1695,AM5,,210,,,,
CPU,Intel Core Gen-11 Model-270,2177,2134,LGA1200,,214,,,,
CPU,Intel Core Gen-13 Model-271,3491,3372,LGA1700,,243,,,,
CPU,AMD Ryzen Gen-11 Model-272,474,400,LGA1200,,170,,,,
CPU,AMD Ryzen Gen-9 Model-273,2587,2540,LGA1700,,102,,,,
CPU,AMD Ryzen Gen-12 Model-274,1799,1909,AM4,,138,,,,
CPU,AMD Ryzen Gen-10 Model-275,411,336,AM4,,129,,,,
CPU,Intel Core Gen-14 Model-276,1804,1997,LGA1200,,130,,,,
CPU,Intel Core Gen-9 Model-277,2161,2470,LGA1200,,236,,,,
CPU,Intel Core Gen-11 Model-278,2974,2493,LGA1700,,112,,,,
CPU,AMD Ryzen Gen-12 Model-279,497,590,AM4,,210,,,,
CPU,AMD Ryzen Gen-14 Model-280,747,814,LGA1851,,90,,,,
CPU,Intel Core Gen-12 Model-281,3451,3257,AM4,,235,,,,
CPU,Intel Core Gen-11 Model-282,846,789,LGA1200,,104,,,,
CPU,Intel Core Gen-14 Model-283,2390,2625,LGA1851,,196,,,,
CPU,Intel Core Gen-10 Model-284,2341,2534,AM4,,47,,,,
CPU,Intel Core Gen-10 Model-285,2098,2050,AM4,,118,,,,
CPU,AMD Ryzen Gen-14 Model-286,1718,1579,LGA1851,,77,,,,
CPU,Intel Core Gen-10 Model-287,2579,2678,AM5,,231,,,,
CPU,AMD Ryzen Gen-13 Model-288,2248,2245,LGA1200,,167,,,,
CPU,Intel Core Gen-13 Model-289,536,576,AM4,,82,,,,
CPU,Intel Core Gen-14 Model-290,981,988,LGA1851,,61,,,,
CPU,Intel Core Gen-12 Model-291,575,589,LGA1851,,62,,,,
CPU,AMD Ryzen Gen-14 Model-292,413,493,AM4,,91,,,,
CPU,Intel Core Gen-12 Model-293,1875,1528,AM4,,235,,,,
CPU,AMD Ryzen Gen-10 Model-294,1251,1473,AM5,,136,,,,
CPU,AMD Ryzen Gen-12 Model-295,727,770,AM5,,191,,,,
CPU,AMD Ryzen Gen-13 Model-296,1756,2048,AM5,,160,,,,
CPU,AMD Ryzen Gen-11 Model-297,1965,1842,AM5,,241,,,,
CPU,Intel Core Gen-12 Model-298,2007,1735,LGA1700,,133,,,,
CPU,Intel Core Gen-9 Model-299,1986,2125,LGA1700,,137,,,,
CPU,AMD Ryzen Gen-11 Model-300,2733,2977,LGA1851,,245,,,,
CPU,AMD Ryzen Gen-9 Model-301,2421,2688,LGA1851,,127,,,,
CPU,AMD Ryzen Gen-12 Model-302,1466,1753,AM4,,174,,,,
CPU,AMD Ryzen Gen-14 Model-303,3052,2654,LGA1200,,89,,,,
CPU,Intel Core Gen-10 Model-304,636,631,LGA1851,,132,,,,
CPU,AMD Ryzen Gen-9 Model-305,1812,1785,LGA1200,,129,,,,
CPU,Intel Core Gen-11 Model-306,957,1015,LGA1851,,209,,,,
CPU,AMD Ryzen Gen-14 Model-307,2376,2504,LGA1851,,214,,,,
CPU,Intel Core Gen-9 Model-308,468,476,AM5,,105,,,,
CPU,Intel Core Gen-10 Model-309,2885,2987,AM5,,139,,,,
CPU,AMD Ryzen Gen-12 Model-310,3206,2671,AM5,,232,,,,
CPU,Intel Core Gen-10 Model-311,762,662,LGA1700,,176,,,,
CPU,AMD Ryzen Gen-10 Model-312,2194,1986,LGA1700,,183,,,,
CPU,Intel Core Gen-14 Model-313,3216,3779,AM4,,138,,,,
CPU,AMD Ryzen Gen-10 Model-314,964,1011,LGA1851,,121,,,,
CPU,Intel Core Gen-12 Model-315,1797,1764,AM5,,166,,,,
CPU,AMD Ryzen Gen-14 Model-316,690,778,LGA1200,,247,,,,
CPU,AMD Ryzen Gen-14 Model-317,2736,3109,LGA1200,,47,,,,
CPU,AMD Ryzen Gen-12 Model-318,870,779,AM4,,243,,,,
CPU,AMD Ryzen Gen-9 Model-319,2305,2042,LGA1200,,226,,,,
CPU,Intel Core Gen-10 Model-320,3214,3014,AM4,,139,,,,
CPU,Intel Core Gen-9 Model-321,1566,1420,AM4,,250,,,,
CPU,Intel Core Gen-12 Model-322,1376,1273,LGA1700,,128,,,,
CPU,Intel Core Gen-14 Model-323,1557,1685,LGA1700,,136,,,,
CPU,Intel Core Gen-9 Model-324,1338,1081,AM5,,118,,,,
CPU,AMD Ryzen Gen-12 Model-325,1914,2163,LGA1700,,176,,,,
CPU,AMD Ryzen Gen-13 Model-326,2037,2057,LGA1700,,68,,,,
CPU,AMD Ryzen Gen-14 Model-327,2633,3003,AM5,,195,,,,
CPU,Intel Core Gen-14 Model-328,334,335,AM4,,196,,,,
CPU,AMD Ryzen Gen-13 Model-329,1680,1722,LGA1200,,154,,,,
CPU,AMD Ryzen Gen-12 Model-330,1877,1967,AM4,,183,,,,
CPU,Intel Core Gen-13 Model-331,1484,1238,AM5,,219,,,,
CPU,AMD Ryzen Gen-12 Model-332,3466,2872,LGA1851,,106,,,,
CPU,Intel Core Gen-10 Model-333,1702,1575,AM4,,201,,,,
CPU,Intel Core Gen-10 Model-334,2626,2436,LGA1851,,233,,,,
CPU,AMD Ryzen Gen-10 Model-335,2901,2666,LGA1851,,159,,,,
CPU,AMD Ryzen Gen-10 Model-336,2371,2036,LGA1851,,216,,,,
CPU,Intel Core Gen-11 Model-337,1858,2070,AM4,,185,,,,
CPU,AMD Ryzen Gen-10 Model-338,2555,2523,LGA1700,,64,,,,
CPU,Intel Core Gen-9 Model-339,3081,2987,LGA1700,,52,,,,
CPU,Intel Core Gen-12 Model-340,991,942,LGA1200,,196,,,,
CPU,Intel Core Gen-12 Model-341,3415,2885,AM5,,148,,,,
CPU,Intel Core Gen-9 Model-342,2518,2614,AM4,,70,,,,
CPU,Intel Core Gen-9 Model-343,2973,2581,LGA1700,,174,,,,
CPU,AMD Ryzen Gen-14 Model-344,1271,1101,AM5,,123,,,,
CPU,Intel Core Gen-9 Model-345,2402,2554,LGA1700,,80,,,,
CPU,AMD Ryzen Gen-11 Model-346,3246,3753,LGA1851,,221,,,,
CPU,AMD Ryzen Gen-9 Model-347,1192,1043,AM5,,164,,,,
CPU,AMD Ryzen Gen-9 Model-348,1943,2035,AM5,,149,,,,
CPU,Intel Core Gen-12 Model-349,1359,1189,LGA1851,,212,,,,
CPU,Intel Core Gen-10 Model-350,1048,1135,AM4,,55,,,,
CPU,AMD Ryzen Gen-10 Model-351,2780,2972,LGA1851,,168,,,,
CPU,Intel Core Gen-9 Model-352,2248,2279,LGA1700,,143,,,,
CPU,AMD Ryzen Gen-12 Model-353,3028,3238,LGA1200,,197,,,,
CPU,Intel Core Gen-14 Model-354,477,481,AM4,,167,,,,
